entity_id,region_name,country_name,revenue,overall_score,environmental_score,social_score,governance_score,target_scope_1,target_scope_2,nace_level_1_name,nace_level_2_name,revenue_pct,activity_type,env_score_adjustment
1735,Western Europe,United Kingdom of Great Britain and Northern Ireland,756321000,3.073,3.807,2.112,2.905,71077,0,"Professional, scientific and technical activities",Activities of head offices and management consultancy,0.096878177,Operation,Operation
1735,Western Europe,United Kingdom of Great Britain and Northern Ireland,756321000,3.073,3.807,2.112,2.905,71077,0,Other Service Activities,Activities of households as employers of domestic personnel,0.031104959,Operation,Operation
2862,Northern America,United States of America,203366562,3.039,3.258,2.9,2.81,6.11,1.76,Information and communication,Publishing activities,0.311598558,N/A,N/A
2862,Northern America,United States of America,203366562,3.039,3.258,2.9,2.81,6.11,1.76,Information and communication,Information service activities,0.208533654,N/A,N/A
2862,Northern America,United States of America,203366562,3.039,3.258,2.9,2.81,6.11,1.76,Financial and insurance activities,Activities auxiliary to financial services and insurance activities,0.479867788,N/A,N/A
1618,Western Europe,Germany,1540000000,2.843,3.9,1.9,2.071,112,3,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1,Operation,Operation
2306,Western Europe,Ireland,2470000000,3.79,4.9,3,2.738,184,43,Financial and insurance activities,"Financial service activities, except insurance and pension funding",1,Transportation,Transportation
1645,Western Europe,United Kingdom of Great Britain and Northern Ireland,535412000,2.992,3.1,3,2.786,21,44,Information and communication,"Computer programming, consultancy and related activities",1,N/A,N/A
2149,Western Europe,France,580900000,2.915,3.65,2,2.69,1290.68,76.4,Manufacturing,Other manufacturing,1,N/A,N/A
4176,Western Europe,Spain,936000000,2.925,3.5,2.1,2.881,3342.11,88.81,Manufacturing,Other manufacturing,1,Manufacturing,Manufacturing
4176,Western Europe,Spain,936000000,2.925,3.5,2.1,2.881,3342.11,88.81,Manufacturing,Other manufacturing,1,Operation,Operation
1227,Western Europe,Jersey,661000000,3.374,4,2.012,3.881,637,91,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",1,N/A,N/A
1665,Western Europe,Sweden,1040000000,2.743,2.948,3.053,2,354,93,Information and communication,"Computer programming, consultancy and related activities",0.803451582,Operation,Operation
1665,Western Europe,Sweden,1040000000,2.743,2.948,3.053,2,354,93,Information and communication,"Computer programming, consultancy and related activities",0.803451582,End-use,End-use
1665,Western Europe,Sweden,1040000000,2.743,2.948,3.053,2,354,93,"Professional, scientific and technical activities",Activities of head offices and management consultancy,0.196548418,Operation,Operation
1665,Western Europe,Sweden,1040000000,2.743,2.948,3.053,2,354,93,"Professional, scientific and technical activities",Activities of head offices and management consultancy,0.196548418,End-use,End-use
3800,Western Europe,United Kingdom of Great Britain and Northern Ireland,469000000,3.264,3.944,3,2.357,26,108,Financial and insurance activities,"Financial service activities, except insurance and pension funding",1,N/A,N/A
1214,Western Europe,Luxembourg,1116728000,2.449,2.465,2.143,2.786,747,111,Manufacturing,"Manufacture of computer, electronic and optical products",0.5,N/A,N/A
1214,Western Europe,Luxembourg,1116728000,2.449,2.465,2.143,2.786,747,111,Information and communication,Telecommunications,0.5,N/A,N/A
2279,Western Europe,Ireland,7996644000,3.147,4.238,3,1.357,3478,118,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",0.081426909,Transportation,Transportation
2279,Western Europe,Ireland,7996644000,3.147,4.238,3,1.357,3478,118,"Professional, Scientific And Technical Activities",Rental and leasing activities,0.918573091,Transportation,Transportation
2929,Northern America,United States of America,1120000000,2.984,3.1,2.935,2.833,18.88,126,"Professional, scientific and technical activities",Legal and accounting activities,1,Transportation,Transportation
1140,Western Europe,Netherlands,417000000,2.776,2.793,3,2.476,78,126,Information and communication,Publishing activities,1,Operation,Operation
3632,Western Europe,United Kingdom of Great Britain and Northern Ireland,1380000000,2.557,2.6,2.5,2.548,1037,126,"Professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,1,Transportation,Transportation
3954,Northern America,United States of America,2983781000,2.573,3.1,2.678,1.5,120,130,Information and communication,"Computer programming, consultancy and related activities",0.41165,N/A,N/A
3954,Northern America,United States of America,2983781000,2.573,3.1,2.678,1.5,120,130,"Professional, Scientific And Technical Activities",Employment activities,0.523,N/A,N/A
3954,Northern America,United States of America,2983781000,2.573,3.1,2.678,1.5,120,130,"Professional, Scientific And Technical Activities","Office administrative, office support and other business support activities",0.06535,N/A,N/A
106,Western Europe,Germany,426258000,2.162,1.95,2.375,2.286,2223,131,Information and communication,Telecommunications,0.5,Other,Other
106,Western Europe,Germany,426258000,2.162,1.95,2.375,2.286,2223,131,Information and communication,Telecommunications,0.5,Operation,Operation
106,Western Europe,Germany,426258000,2.162,1.95,2.375,2.286,2223,131,Information and communication,Information service activities,0.5,Other,Other
106,Western Europe,Germany,426258000,2.162,1.95,2.375,2.286,2223,131,Information and communication,Information service activities,0.5,Operation,Operation
10600,Northern America,United States of America,775586000,2.865,3.25,3.008,2,131.2,145.8,Information and communication,Publishing activities,1,N/A,N/A
1794,Western Europe,United Kingdom of Great Britain and Northern Ireland,458900000,3.15,3.105,2.966,3.452,89.58,154.55,Information and communication,Information service activities,1,N/A,N/A
1807,Western Europe,Netherlands,2272329000,2.347,2.598,2,2.31,2071,160,Wholesale And Retail Trade,Retail trade,0.098819757,Raw materials,Raw materials
1807,Western Europe,Netherlands,2272329000,2.347,2.598,2,2.31,2071,160,Information and communication,Telecommunications,0.901180243,Raw materials,Raw materials
1060,Western Europe,France,563108000,2.769,2.798,2.434,3.119,16227,163,"Electricity, Gas, Steam And Air Conditioning Supply","Electricity, gas, steam and air conditioning supply",0.265734104,Disposal ,Disposal 
1060,Western Europe,France,563108000,2.769,2.798,2.434,3.119,16227,163,Construction,Specialised construction activities,0.734265896,Disposal ,Disposal 
10477,Northern America,United States of America,2730000000,3.016,2.988,2.95,3.143,424,166,"Professional, scientific and technical activities",Legal and accounting activities,0.667884879,End-use,End-use
10477,Northern America,United States of America,2730000000,3.016,2.988,2.95,3.143,424,166,"Professional, scientific and technical activities",Activities of head offices and management consultancy,0.332115121,End-use,End-use
1268,Western Europe,United Kingdom of Great Britain and Northern Ireland,5121400000,3.851,4.941,3.024,2.881,1051,180,Wholesale And Retail Trade,Retail trade,0.971761628,N/A,N/A
1268,Western Europe,United Kingdom of Great Britain and Northern Ireland,5121400000,3.851,4.941,3.024,2.881,1051,180,Manufacturing,Manufacture of electrical equipment,0.004205881,N/A,N/A
1268,Western Europe,United Kingdom of Great Britain and Northern Ireland,5121400000,3.851,4.941,3.024,2.881,1051,180,Accommodation And Food Service Activities,Food and beverage service activities,0.018518374,N/A,N/A
1268,Western Europe,United Kingdom of Great Britain and Northern Ireland,5121400000,3.851,4.941,3.024,2.881,1051,180,"Arts, Sports And Recreation",Other personal service activities,0.005514117,N/A,N/A
3539,Western Europe,Germany,1847100000,2.4,2.994,1.9,1.929,2009,187,Information and communication,Publishing activities,1,N/A,N/A
1383,Western Europe,United Kingdom of Great Britain and Northern Ireland,1015900000,3.062,3.492,2.744,2.667,5640,199,"Agriculture, Forestry And Fishing",Forestry and logging,0.009548184,Operation,Operation
1383,Western Europe,United Kingdom of Great Britain and Northern Ireland,1015900000,3.062,3.492,2.744,2.667,5640,199,Financial And Insurance Activities,Real estate activities,0.990451816,Operation,Operation
1588,Western Europe,Spain,211200000,3.524,3.9,3,3.476,734,202,Transportation And Storage,"Warehousing, storage and support activities for transportation",1,End-use,End-use
999,Western Europe,Netherlands,4110000000,1.987,2.12,2.014,1.714,3684,204,Information and communication,Telecommunications,1,Operation,Operation
3535,Western Europe,Belgium,817500000,3.091,3.421,2.572,3.119,40732,215,"Water Supply; Sewerage, Waste Management And Remediation Activities",Sewerage,0.230110159,Operation,Operation
3535,Western Europe,Belgium,817500000,3.091,3.421,2.572,3.119,40732,215,"Water Supply; Sewerage, Waste Management And Remediation Activities",Sewerage,0.230110159,Manufacturing,Manufacturing
3535,Western Europe,Belgium,817500000,3.091,3.421,2.572,3.119,40732,215,Construction,Civil engineering,0.769889841,Operation,Operation
3535,Western Europe,Belgium,817500000,3.091,3.421,2.572,3.119,40732,215,Construction,Civil engineering,0.769889841,Manufacturing,Manufacturing
1467,Western Europe,Spain,462000000,3.359,3.594,3.086,3.262,49,226,Information and communication,"Programming, broadcasting, news agency and other content distribution activities",0.45021645,Other,Other
1467,Western Europe,Spain,462000000,3.359,3.594,3.086,3.262,49,226,Human Health And Social Work Activities,Sports activities and amusement and recreation activities,0.54978355,Other,Other
1320,Western Europe,United Kingdom of Great Britain and Northern Ireland,387691000,3.237,3.893,3.027,2.31,290.5,231.3,Financial and insurance activities,Activities auxiliary to financial services and insurance activities,0.71768008,N/A,N/A
1320,Western Europe,United Kingdom of Great Britain and Northern Ireland,387691000,3.237,3.893,3.027,2.31,290.5,231.3,Financial And Insurance Activities,Real estate activities,0.14115996,N/A,N/A
1320,Western Europe,United Kingdom of Great Britain and Northern Ireland,387691000,3.237,3.893,3.027,2.31,290.5,231.3,"Professional, Scientific And Technical Activities","Office administrative, office support and other business support activities",0.14115996,N/A,N/A
3850,Western Europe,Sweden,16400000000,2.665,3.102,2.205,2.429,20943,257,"Water Supply; Sewerage, Waste Management And Remediation Activities",Sewerage,0.065,Manufacturing,Manufacturing
3850,Western Europe,Sweden,16400000000,2.665,3.102,2.205,2.429,20943,257,"Water Supply; Sewerage, Waste Management And Remediation Activities",Sewerage,0.065,Other,Other
3850,Western Europe,Sweden,16400000000,2.665,3.102,2.205,2.429,20943,257,Construction,Construction of residential and non-residential buildings,0.165,Manufacturing,Manufacturing
3850,Western Europe,Sweden,16400000000,2.665,3.102,2.205,2.429,20943,257,Construction,Construction of residential and non-residential buildings,0.165,Other,Other
3850,Western Europe,Sweden,16400000000,2.665,3.102,2.205,2.429,20943,257,Construction,Civil engineering,0.77,Manufacturing,Manufacturing
3850,Western Europe,Sweden,16400000000,2.665,3.102,2.205,2.429,20943,257,Construction,Civil engineering,0.77,Other,Other
1249,Western Europe,Luxembourg,515654000,3.439,3.734,3.461,2.881,1720,273,Manufacturing,Manufacture of food products,0.02295506,Farming,Farming
1249,Western Europe,Luxembourg,515654000,3.439,3.734,3.461,2.881,1720,273,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",0.48852247,Farming,Farming
1249,Western Europe,Luxembourg,515654000,3.439,3.734,3.461,2.881,1720,273,Wholesale And Retail Trade,Retail trade,0.48852247,Farming,Farming
3992,Western Europe,Italy,266100000,2.907,4,1.906,2.143,679.44,306.87,Manufacturing,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1,N/A,N/A
2285,Western Europe,France,2500000000,2.949,3.058,2.92,2.786,6231,317,Information and communication,"Computer programming, consultancy and related activities",1,N/A,N/A
3312,Western Europe,United Kingdom of Great Britain and Northern Ireland,995153000,2.937,3.15,3,2.476,172,355,Information and communication,"Motion picture, video and television programme production, sound recording and music publishing activities",1,N/A,N/A
1443,Western Europe,Italy,435361000,2.861,3,2.953,2.5,666,369,Financial and insurance activities,"Financial service activities, except insurance and pension funding",0.772508958,N/A,N/A
1443,Western Europe,Italy,435361000,2.861,3,2.953,2.5,666,369,Information and communication,"Computer programming, consultancy and related activities",0.227491042,N/A,N/A
4233,Western Europe,United Kingdom of Great Britain and Northern Ireland,1040000000,2.477,2.442,2.889,2.048,210,371,Financial and insurance activities,"Insurance, reinsurance and pension funding, except compulsory social security",1,N/A,N/A
10204,Western Europe,United Kingdom of Great Britain and Northern Ireland,610600000,2.441,3.017,2.042,1.881,22931.48,380.51,"Water Supply; Sewerage, Waste Management And Remediation Activities",Sewerage,0.288861689,Manufacturing,Manufacturing
10204,Western Europe,United Kingdom of Great Britain and Northern Ireland,610600000,2.441,3.017,2.042,1.881,22931.48,380.51,Construction,Civil engineering,0.5,Manufacturing,Manufacturing
10204,Western Europe,United Kingdom of Great Britain and Northern Ireland,610600000,2.441,3.017,2.042,1.881,22931.48,380.51,"Professional, scientific and technical activities",Architectural and engineering activities; technical testing and analysis,0.211138311,Manufacturing,Manufacturing
3673,Western Europe,Switzerland,422300000,2.956,3.218,3,2.429,883,400,Information and communication,Publishing activities,0.73889414,End-use,End-use
3673,Western Europe,Switzerland,422300000,2.956,3.218,3,2.429,883,400,Financial and insurance activities,Activities auxiliary to financial services and insurance activities,0.26110586,End-use,End-use
1242,Western Europe,Italy,440714000,3.042,3.53,3,2.214,1962,400,Manufacturing,Manufacture of electrical equipment,0.851329887,Raw materials,Raw materials
1242,Western Europe,Italy,440714000,3.042,3.53,3,2.214,1962,400,Manufacturing,Manufacture of electrical equipment,0.851329887,Operation,Operation
1242,Western Europe,Italy,440714000,3.042,3.53,3,2.214,1962,400,Manufacturing,Manufacture of electrical equipment,0.851329887,Raw materials,Raw materials
1242,Western Europe,Italy,440714000,3.042,3.53,3,2.214,1962,400,Manufacturing,Manufacture of machinery and equipment n.e.c.,0.148670113,Raw materials,Raw materials
1242,Western Europe,Italy,440714000,3.042,3.53,3,2.214,1962,400,Manufacturing,Manufacture of machinery and equipment n.e.c.,0.148670113,Operation,Operation
1242,Western Europe,Italy,440714000,3.042,3.53,3,2.214,1962,400,Manufacturing,Manufacture of machinery and equipment n.e.c.,0.148670113,Raw materials,Raw materials
2365,Western Europe,France,872000000,3.339,4,2.769,2.833,1144,421,Manufacturing,Manufacture of chemicals and chemical products,1,N/A,N/A
2944,Northern America,United States of America,583000000,2.851,3,2.9,2.524,92,432,"Professional, scientific and technical activities",Activities of head offices and management consultancy,1,Transportation,Transportation
2944,Northern America,United States of America,583000000,2.851,3,2.9,2.524,92,432,"Professional, scientific and technical activities",Activities of head offices and management consultancy,1,End-use,End-use
3668,Western Europe,Sweden,16900000000,3.031,3.805,2.907,1.786,54334,443,Financial and insurance activities,"Insurance, reinsurance and pension funding, except compulsory social security",0.09,N/A,N/A
3668,Western Europe,Sweden,16900000000,3.031,3.805,2.907,1.786,54334,443,"Professional, Scientific And Technical Activities",Services to buildings and landscape activities,0.91,N/A,N/A
87,Western Europe,Italy,568178000,2.726,3,2.677,2.286,2440,447.22,Information and communication,Publishing activities,1,N/A,N/A
4061,Northern America,United States of America,2420000000,3.274,4.084,3,2.143,425,448,Transportation And Storage,Air transport,0.265786215,Operation,Operation
4061,Northern America,United States of America,2420000000,3.274,4.084,3,2.143,425,448,Accommodation And Food Service Activities,Accommodation,0.265786215,Operation,Operation
4061,Northern America,United States of America,2420000000,3.274,4.084,3,2.143,425,448,"Professional, Scientific And Technical Activities",Employment activities,0.202641354,Operation,Operation
4061,Northern America,United States of America,2420000000,3.274,4.084,3,2.143,425,448,"Professional, Scientific And Technical Activities","Travel agency, tour operator and other reservation service and related activities",0.265786215,Operation,Operation
1295,Western Europe,Italy,419900000,2.476,3.102,1.754,2.214,405,462,Public Administration And Defence; Compulsory Social Security,Education,1,N/A,N/A
2677,Northern America,Canada,843323000,2.912,3.2,3,2.286,8,482,Financial and insurance activities,"Financial service activities, except insurance and pension funding",1,Operation,Operation
10372,Western Europe,Germany,571300000,3.264,3.469,3,3.214,1210,529,Information and communication,Information service activities,1,N/A,N/A
3429,Western Europe,Sweden,14800000000,2.479,2.62,2.607,2.071,10617,558,Construction,Specialised construction activities,1,N/A,N/A
2951,Northern America,United States of America,1576551000,1.803,1,3,1.81,375,574,Manufacturing,Manufacture of machinery and equipment n.e.c.,1,N/A,N/A
3546,Western Europe,Netherlands,669369000,1.939,1,3,2.357,735,581,Manufacturing,Manufacture of machinery and equipment n.e.c.,1,N/A,N/A
1757,Northern America,United States of America,4183800000,2.902,3.086,2.9,2.571,254,584,Information and communication,Publishing activities,0.429856544,Operation,Operation
1757,Northern America,United States of America,4183800000,2.902,3.086,2.9,2.571,254,584,Information and communication,"Computer programming, consultancy and related activities",0.429856544,Operation,Operation
1757,Northern America,United States of America,4183800000,2.902,3.086,2.9,2.571,254,584,"Professional, scientific and technical activities",Activities of head offices and management consultancy,0.140286913,Operation,Operation
10589,Western Europe,United Kingdom of Great Britain and Northern Ireland,20215000,3.446,3.876,2.915,3.31,570.2,598.2,Manufacturing,Manufacture of machinery and equipment n.e.c.,1,N/A,N/A
4051,Northern America,United States of America,1583900000,3.568,4.897,3,1.857,8574.81,599.49,Manufacturing,"Manufacture of motor vehicles, trailers and semi-trailers",0.999245744,Operation,Operation
4051,Northern America,United States of America,1583900000,3.568,4.897,3,1.857,8574.81,599.49,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",0.000754256,Operation,Operation
1784,Western Europe,Belgium,506778000,2.651,3.213,1.833,2.619,484,610,Public Administration And Defence; Compulsory Social Security,Education,1,N/A,N/A
3048,Western Europe,United Kingdom of Great Britain and Northern Ireland,2955207000,3.13,3.25,2.8,3.31,17835,628,"Professional, Scientific And Technical Activities",Services to buildings and landscape activities,1,N/A,N/A
3179,Western Europe,United Kingdom of Great Britain and Northern Ireland,693000000,3.134,3.633,2.992,2.405,81,636,Information and communication,Publishing activities,0.033478894,Operation,Operation
3179,Western Europe,United Kingdom of Great Britain and Northern Ireland,693000000,3.134,3.633,2.992,2.405,81,636,"Professional, Scientific And Technical Activities","Travel agency, tour operator and other reservation service and related activities",0.966521106,Operation,Operation
10233,Western Europe,Italy,642500000,3.329,3.75,3.27,2.643,1344,690,Manufacturing,Manufacture of machinery and equipment n.e.c.,1,N/A,N/A
2193,Northern America,United States of America,3010000000,3.526,4.739,3,1.976,14499,780,"Electricity, Gas, Steam And Air Conditioning Supply","Electricity, gas, steam and air conditioning supply",1,Operation,Operation
3289,Western Europe,Netherlands,578600000,2.827,3.144,2.981,2.071,1969.17,784.22,Information and communication,Publishing activities,0.528301887,N/A,N/A
3289,Western Europe,Netherlands,578600000,2.827,3.144,2.981,2.071,1969.17,784.22,"Professional, Scientific And Technical Activities","Office administrative, office support and other business support activities",0.471698113,N/A,N/A
3498,Western Europe,Sweden,10300000000,2.817,3.262,2.394,2.524,38927,853,Construction,Civil engineering,1,N/A,N/A
2292,Western Europe,United Kingdom of Great Britain and Northern Ireland,773000000,3.002,3.051,2.987,2.933,874,895,Financial and insurance activities,Activities auxiliary to financial services and insurance activities,1,N/A,N/A
10432,Western Europe,Sweden,4006800000,3.255,3.5,3,3.119,97,909,Manufacturing,"Manufacture of computer, electronic and optical products",1,Operation,Operation
1170,Northern America,Canada,2664900000,3.213,3.913,2.977,2.238,22879,910,Manufacturing,Manufacture of chemicals and chemical products,0.62,N/A,N/A
1170,Northern America,Canada,2664900000,3.213,3.913,2.977,2.238,22879,910,Manufacturing,Other manufacturing,0.19,N/A,N/A
1170,Northern America,Canada,2664900000,3.213,3.913,2.977,2.238,22879,910,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",0.19,N/A,N/A
2545,Western Europe,Sweden,567000000,3.903,4.9,3,3.19,62.86,942.93,Transportation And Storage,Air transport,1,N/A,N/A
1368,Western Europe,Italy,502076000,2.953,3.136,2.86,2.738,1036.8,948.05,"Professional, scientific and technical activities",Activities of head offices and management consultancy,0.86442902,End-use,End-use
1368,Western Europe,Italy,502076000,2.953,3.136,2.86,2.738,1036.8,948.05,"Professional, Scientific And Technical Activities","Office administrative, office support and other business support activities",0.13557098,End-use,End-use
1160,Western Europe,United Kingdom of Great Britain and Northern Ireland,754600000,2.729,3,2.988,1.929,1293,1005,Information and communication,"Computer programming, consultancy and related activities",0.114895309,N/A,N/A
1160,Western Europe,United Kingdom of Great Britain and Northern Ireland,754600000,2.729,3,2.988,1.929,1293,1005,"Professional, scientific and technical activities","Activities of advertising, market research and public relations",0.885104691,N/A,N/A
4146,Western Europe,Netherlands,1070000000,3.245,3.741,2.607,3.119,19413,1066,Construction,Civil engineering,0.8,N/A,N/A
4146,Western Europe,Netherlands,1070000000,3.245,3.741,2.607,3.119,19413,1066,Construction,Specialised construction activities,0.2,N/A,N/A
3114,Northern America,United States of America,965617000,2.895,2.75,3.125,2.881,27859,1082,Manufacturing,Manufacture of chemicals and chemical products,0.333333333,Raw materials,Raw materials
3114,Northern America,United States of America,965617000,2.895,2.75,3.125,2.881,27859,1082,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",0.333333333,Raw materials,Raw materials
3114,Northern America,United States of America,965617000,2.895,2.75,3.125,2.881,27859,1082,"Professional, Scientific And Technical Activities",Rental and leasing activities,0.333333333,Raw materials,Raw materials
3102,Northern America,United States of America,555124000,2.403,2.884,1.9,2.143,291,1086,Information and communication,Publishing activities,0.5,Operation,Operation
3102,Northern America,United States of America,555124000,2.403,2.884,1.9,2.143,291,1086,Public Administration And Defence; Compulsory Social Security,Education,0.5,Operation,Operation
3985,Western Europe,Denmark,14500000000,2.17,2.491,2.286,1.452,1057,1112,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",0.058928571,Disposal ,Disposal 
3985,Western Europe,Denmark,14500000000,2.17,2.491,2.286,1.452,1057,1112,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",0.058928571,End-use,End-use
3985,Western Europe,Denmark,14500000000,2.17,2.491,2.286,1.452,1057,1112,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",0.058928571,Operation,Operation
3985,Western Europe,Denmark,14500000000,2.17,2.491,2.286,1.452,1057,1112,Information and communication,Telecommunications,0.941071429,Disposal ,Disposal 
3985,Western Europe,Denmark,14500000000,2.17,2.491,2.286,1.452,1057,1112,Information and communication,Telecommunications,0.941071429,End-use,End-use
3985,Western Europe,Denmark,14500000000,2.17,2.491,2.286,1.452,1057,1112,Information and communication,Telecommunications,0.941071429,Operation,Operation
10045,Western Europe,Luxembourg,759000000,3.022,3.65,2,3.119,134.8,1142.8,Information and communication,Telecommunications,1,Operation,Operation
1925,Northern America,United States of America,1318471000,2.948,3.097,3,2.619,358,1166,Manufacturing,Manufacture of chemicals and chemical products,0.06484936,Disposal ,Disposal 
1925,Northern America,United States of America,1318471000,2.948,3.097,3,2.619,358,1166,Information and communication,Publishing activities,0.870301281,Disposal ,Disposal 
1925,Northern America,United States of America,1318471000,2.948,3.097,3,2.619,358,1166,"Professional, scientific and technical activities",Scientific research and development,0.06484936,Disposal ,Disposal 
3115,Northern America,United States of America,860205000,2.794,3.2,3,1.814,294,1178,"Professional, Scientific And Technical Activities",Employment activities,1,Operation,Operation
3555,Northern America,United States of America,1020000000,3.531,4.373,3.267,2.333,1471.12,1204.88,Manufacturing,Manufacture of chemicals and chemical products,1,Manufacturing,Manufacturing
1637,Western Europe,France,1160000000,2.97,3,3,2.881,3389,1220,"Professional, scientific and technical activities",Activities of head offices and management consultancy,1,Other,Other
1637,Western Europe,France,1160000000,2.97,3,3,2.881,3389,1220,"Professional, scientific and technical activities",Activities of head offices and management consultancy,1,Transportation,Transportation
1366,Western Europe,United Kingdom of Great Britain and Northern Ireland,2611800000,2.39,2.32,2.938,1.857,37827,1250,Construction,Construction of residential and non-residential buildings,1,N/A,N/A
10314,Western Europe,Germany,1018100000,2.961,3.013,2.992,2.833,2295,1303,"Professional, Scientific And Technical Activities",Employment activities,1,N/A,N/A
1476,Western Europe,Germany,1230000000,3.254,3.55,3,3.024,1500,1324,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",1,Raw materials,Raw materials
1476,Western Europe,Germany,1230000000,3.254,3.55,3,3.024,1500,1324,Wholesale And Retail Trade,"Wholesale trade, except of motor vehicles and motorcycles",1,End-use,End-use
1226,Western Europe,Switzerland,828744000,3.128,3.6,3.1,2.31,441,1357,Wholesale And Retail Trade,Retail trade,0.5,N/A,N/A
1226,Western Europe,Switzerland,828744000,3.128,3.6,3.1,2.31,441,1357,Manufacturing,Other manufacturing,0.5,N/A,N/A
2589,Northern America,United States of America,852427000,3.067,3.047,3.15,3.005,87.79,1375.38,Information and communication,Publishing activities,1,N/A,N/A
3705,Western Europe,Belgium,2854600000,2.252,2.265,2.267,2.214,8072,1389,Manufacturing,"Manufacture of computer, electronic and optical products",0.061115784,Operation,Operation
3705,Western Europe,Belgium,2854600000,2.252,2.265,2.267,2.214,8072,1389,Information and communication,Telecommunications,0.938884216,Operation,Operation
98,Western Europe,Germany,616338000,3.376,3.821,3,3.024,4709.6,1410.4,Transportation And Storage,"Warehousing, storage and support activities for transportation",1,N/A,N/A
4215,Western Europe,Netherlands,417000000,2.913,3.327,2,3.262,1560,1428,Manufacturing,Other manufacturing,0.94,Manufacturing,Manufacturing
4215,Western Europe,Netherlands,417000000,2.913,3.327,2,3.262,1560,1428,Manufacturing,Other manufacturing,0.94,Other,Other
4215,Western Europe,Netherlands,417000000,2.913,3.327,2,3.262,1560,1428,Manufacturing,Other manufacturing,0.94,Operation,Operation
